panstwo,rok,cena_energii_eur_kwh,cena_benzyny_eur_litr,cena_diesla_eur_litr,koszt_100_km_ev,koszt_100_km_benzyna,koszt_100_km_diesel,relacja_kosztu_ev_do_benzyny,relacja_kosztu_ev_do_diesla
Francja,2015,0.1679,1.356370612244898,1.1548863265306122,3.0221999999999998,9.494594285714285,6.929317959183673,0.3183074399026453,0.4361468210582789
Francja,2016,0.1698,1.3011674,1.1017592,3.0564,9.1081718,6.6105552,0.33556679288811836,0.462351482973775
Francja,2017,0.173,1.375376,1.2300448,3.114,9.627632,7.3802688,0.32344402029491776,0.42193585144215884
Francja,2018,0.17735,1.5071972,1.4367702,3.1923000000000004,10.5503804,8.6206212,0.302576767753322,0.37030974055558785
Francja,2019,0.18455,1.5049191836734692,1.4386797959183673,3.3219,10.534434285714285,8.632078775510204,0.31533729385970144,0.384831983858217
Francja,2020,0.19255,1.356537,1.2604958,3.4659,9.495759000000001,7.562974799999999,0.36499452018527423,0.4582720545360009
Francja,2021,0.1984,1.5529438775510205,1.4310875510204082,3.5711999999999997,10.870607142857143,8.58652530612245,0.32851890911599757,0.41590746811793905
Francja,2022,0.2148,1.808916862745098,1.8445715686274509,3.8663999999999996,12.662418039215686,11.067429411764705,0.3053445232992391,0.349349415853514
Francja,2023,0.24455,1.880760576923077,1.7951121153846155,4.4018999999999995,13.16532403846154,10.770672692307693,0.33435561381855605,0.4086931360511765
Francja,2024,0.28865,1.8208333962264152,1.6954111320754717,5.1957,12.745833773584906,10.17246679245283,0.4076390836641715,0.5107610676944948
Francja,2025,0.2616,1.7259417999230768,1.6185617665384613,4.7088,12.081592599461537,9.711370599230769,0.38974994076607633,0.48487491563476953
Grecja,2008,0.1073,1.1280204081632652,1.2229183673469388,1.9314,7.8961428571428565,7.337510204081633,0.24460043782678706,0.2632228025966657
Grecja,2009,0.10930000000000001,0.9961599999999999,0.96626,1.9674,6.97312,5.79756,0.28214056261759446,0.33934965744209633
Grecja,2010,0.1196,1.4298163265306123,1.243,2.1528,10.008714285714285,7.458,0.2150925621958008,0.28865647626709573
Grecja,2011,0.1244,1.6665714285714286,1.471469387755102,2.2392,11.666,8.828816326530612,0.1919423967083833,0.25362403262045435
Grecja,2012,0.14045000000000002,1.7497755102040817,1.5352244897959184,2.5281000000000002,12.248428571428573,9.21134693877551,0.20640198742695856,0.2744549756733045
Grecja,2013,0.16299999999999998,1.6926734693877552,1.3924489795918367,2.9339999999999997,11.848714285714287,8.35469387755102,0.24762180345064558,0.35117983291807126
Grecja,2014,0.17759999999999998,1.653061224489796,1.350591836734694,3.1967999999999996,11.571428571428571,8.103551020408165,0.27626666666666666,0.3944937215733086
Grecja,2015,0.1769,1.4805714285714286,1.1765714285714286,3.1842,10.364,7.059428571428572,0.3072365881898881,0.451056338028169
Grecja,2016,0.17195,1.39374,1.07182,3.0951,9.75618,6.43092,0.31724506927916457,0.4812841708495829
Grecja,2017,0.16655,1.51092,1.26372,2.9979,10.57644,7.582319999999999,0.2834507641512645,0.39538030576393507
Grecja,2018,0.1659,1.5969,1.38646,2.9861999999999997,11.1783,8.318760000000001,0.2671425887657336,0.35897176983108053
Grecja,2019,0.1573,1.5857142857142859,1.3804285714285713,2.8314,11.100000000000001,8.282571428571428,0.255081081081081,0.34185035703197764
Grecja,2020,0.16575,1.4451800000000001,1.1873399999999998,2.9835000000000003,10.11626,7.124039999999999,0.2949212455986699,0.4187932689878216
Grecja,2021,0.1827,1.646204081632653,1.372938775510204,3.2886,11.523428571428571,8.237632653061224,0.28538381434097,0.3992166364420133
